,b_normal,b_large,b_normal_rot90,d_normal,d_large,d_normal_rot90,q_normal,q_large,q_normal_rot90,p_normal,p_large,p_normal_rot90,r_normal,r_large,r_normal_flip_h,r_normal_flip_v,r_normal_rot90,a_normal,a_large,a_normal_flip_h,a_normal_flip_v,a_normal_rot90,e_normal,e_large,e_normal_flip_h,e_normal_flip_v,e_normal_rot90,f_normal,f_large,f_normal_flip_h,f_normal_flip_v,f_normal_rot90,h_normal,h_large,h_normal_flip_h,h_normal_flip_v,h_normal_rot90,k_normal,k_large,k_normal_flip_h,k_normal_flip_v,k_normal_rot90
b_normal,0.0,0.22895984703632294,0.6569644491612691,0.2800449432237712,0.30275794356158553,0.7047726184477983,0.3842924293182821,0.7170516994265168,0.5531128270161094,0.3693936237452314,0.3724497097998209,0.34894020077394133,0.9570190562442867,0.8504397318426429,0.9081453560427868,1.116429658015811,1.045547013637738,1.0654280459445753,1.1091944205742332,1.2658898601781479,1.2387714673187111,1.3369228615247244,0.7774817319812796,0.5818152252219706,1.2477480339520375,1.0851150972860284,1.1648831058228106,0.9650905761575013,0.8342680232316618,1.2467835242702798,1.0979545674030105,1.1318912604417797,1.2169926893944731,0.8850828001036399,1.3744908014292825,1.026006942765234,1.0428149848997583,0.7280804887797951,0.9933822909724378,0.9256341245656876,1.2523352784097448,1.4028640040454972
b_large,0.22895984703632294,0.0,0.45774535592723015,0.31490457521352316,0.33363785845030725,0.7596206635666816,0.45467653445340794,0.47414405492632233,0.3191248244377834,0.3942787571416986,0.29972076612045195,0.3917242436712355,0.6395173111609425,0.6823019801886453,0.6718520529081136,0.8330639699340461,1.0819434589838166,0.8912221523651431,1.0405893726225555,1.0884131838134188,1.5092285897588689,1.6198646647189354,1.2392972452203248,0.7291343484427171,1.3340119840335933,1.0596356686152988,0.9689624372108887,0.812023120469684,0.770392021125326,1.2403219652914363,0.9144368952588042,0.9795297413066513,1.3831656857943606,0.6454156861905445,1.5457527670505933,0.875840065630522,1.1986453932229315,0.7894629056563037,0.8753527518049296,0.965387945554814,1.2260288769327023,1.3521004505352432
b_normal_rot90,0.6569644491612691,0.45774535592723015,0.0,0.6153825603981362,0.5178506421884034,0.401451877358598,0.8659851290655628,0.6774768906079293,0.2515229581079913,0.4548012056971681,0.38370624087886446,0.37436139176903116,1.2370540351342996,1.12851442607277,1.008095192261794,1.0292182724813557,0.9269533569531806,1.055071354949944,1.034702085696104,1.096337387784378,1.1847349442659065,1.213437179052302,0.7366730963211509,1.1130851090348794,0.8383471006109886,0.8642526806593933,0.515528290330283,0.6964247448061625,0.7290787772230153,0.9131137258650797,0.6028079416032345,0.6252097405791047,1.5021996961890243,0.9793882436632864,0.756244254097757,1.0596455464890706,1.415788852304893,0.7652327152208811,1.0869327132561386,0.8205007654263543,0.8172607371705105,1.0784297529361557
d_normal,0.2800449432237712,0.31490457521352316,0.6153825603981362,0.0,0.2693004796278097,0.42762858546699506,0.5292845635982524,0.6621248854277895,0.4099584651292041,0.38567116200518237,0.3561151618040073,0.29604964481759516,0.7171987843643719,0.8164763916498318,0.7540274456152429,0.8570105531624763,1.0255426008135993,1.216641248586706,1.00365008155656,0.8749616878086203,0.9075216294637838,0.9037810222385141,0.7113867949061092,0.9619318355788223,0.6605574996060023,0.857645309229021,1.0080151143497313,0.9122422335290039,0.8000498246161794,0.7306387132890584,1.0460350736261101,1.1426911972819234,1.1866012801603305,0.9568410862872598,1.3279700539727795,1.205712796713724,1.238538674691434,0.8580740188368359,0.7213450659738226,0.694293237545024,0.967915896321546,1.1387083311838584
d_large,0.30275794356158553,0.33363785845030725,0.5178506421884034,0.2693004796278097,0.0,0.8560082705654986,0.4326809600034752,0.5217421466019482,0.5756608836381871,0.3461226638627487,0.308120711626047,0.3338203722342321,0.9294967375561161,1.0876338306345759,1.0426408708735169,1.139220446142314,1.1430188134089043,0.9927164201969043,0.9563865081760685,1.265335992245293,1.114523118259035,1.041311217064438,0.6891585136055854,0.6195802192946417,1.0735066594759983,0.943917064528891,1.2782730616697244,0.6622956739893187,1.0897043832367856,1.4650247278530646,0.8698692490379277,1.0145741616201192,0.9517716263813739,1.0714481201218515,0.9177455701005424,1.2984241109856263,0.7941404078436196,0.9279095233195441,0.8053011110203717,0.9922740431643585,0.7185988233455309,0.7416926022973304
d_normal_rot90,0.7047726184477983,0.7596206635666816,0.401451877358598,0.42762858546699506,0.8560082705654986,0.0,0.5488188943826314,0.639952942787683,0.40114232423225127,0.29757558842459436,0.4203799058017625,0.3996030554244555,1.1783249631733175,1.288263721421163,0.9924580603472322,0.925129607041506,0.618743757852728,1.3843845983335572,0.83866551267785,0.9976033911968853,1.0240963082563739,0.7986365389888969,0.8794190428462635,1.0730812479543748,0.8491541181861338,0.8456496788951827,0.7145921482112321,1.062445003785406,0.9338031932493,0.789853004690369,0.9050910549454598,1.439687762259968,1.0456207341054866,1.2577732804181012,1.1620632439880918,1.1220256858310846,1.436197064826738,1.1095947841120999,1.0271281130581214,0.686801892450544,0.8177593386760434,1.2024818036137372
q_normal,0.3842924293182821,0.45467653445340794,0.8659851290655628,0.5292845635982524,0.4326809600034752,0.5488188943826314,0.0,0.25010738744762184,0.6168494126904722,0.36064709584090104,0.3935847197577028,0.4152254811632711,0.6910791208839346,0.8512880453597641,0.8792180439453727,1.0888295704540347,1.4948448713459854,0.92859859109562,0.9940490390610718,1.102541240069209,1.2612537157519461,0.9774774280589842,1.0948970540908545,1.5072176058522042,1.194352118618017,1.3822388380116168,1.1596494567152191,0.9139170048376931,1.0217434215877772,1.0166420036257493,1.0651940026352946,0.9380697626153504,0.7219392061766178,0.9022909019017372,0.5939784286357925,1.2712777245912894,0.7936864067555776,0.8132786339399547,0.672264762870513,0.7176986223431204,0.8260756110470925,0.8489978183446409
q_large,0.7170516994265168,0.47414405492632233,0.6774768906079293,0.6621248854277895,0.5217421466019482,0.639952942787683,0.25010738744762184,0.0,0.6476100572135335,0.34010112283157934,0.23301223451095293,0.5593355402844103,1.1200311747600014,0.7777893554630242,1.090473789276428,0.9585415218024634,1.2315432757626203,1.5951237301372447,0.9399783967608855,1.2940826933150194,1.2137238433765019,0.963081039129969,0.9179985285255723,1.114922022468798,0.9888076992492725,1.173678661460586,1.2732399822737772,0.7701128162637209,0.5606972957059176,1.3954648335624131,0.6708195302574005,1.3462524909546565,1.084862132305159,0.6591972158114293,0.5479955805970921,0.9889491804526719,1.2350155780118988,1.0253282584484351,0.6746823681740972,0.8687950792070859,0.7275690282554056,1.0125432302092607
q_normal_rot90,0.5531128270161094,0.3191248244377834,0.2515229581079913,0.4099584651292041,0.5756608836381871,0.40114232423225127,0.6168494126904722,0.6476100572135335,0.0,0.39890917815303284,0.5669537241786399,0.31523240957548554,1.0145912147734728,0.9753235492895471,0.8844289324866655,1.1011710938392354,1.2369834088136409,0.9895195395409601,0.7339530564821253,1.0395772050084957,0.7746965384545751,0.6535918362753581,0.7913838487362128,0.9786134772055716,0.9106731513792492,0.9529199458493183,0.901172946029643,0.8436318277381988,0.6833885564019049,1.0333688320215297,0.8436149842333572,1.2764002311036442,0.6610649721076824,1.3530022922773612,1.2379176803308234,0.9222046328875466,0.5931197773818896,0.8757790956361124,1.206655217973775,0.8357443243694069,0.8331887408376324,1.2462297097536286
p_normal,0.3693936237452314,0.3942787571416986,0.4548012056971681,0.38567116200518237,0.3461226638627487,0.29757558842459436,0.36064709584090104,0.34010112283157934,0.39890917815303284,0.0,0.29446482959912496,0.44816892068623027,0.6123882684246214,1.2607768931902061,0.6014814073955195,0.8069819543516179,1.004376279679252,1.2781754167875783,1.0500028978026825,0.9688753181866632,0.9536196553467656,0.9866292642296708,0.7888551108311046,1.5125931162683126,0.9817100387001556,0.8335175630036653,0.7905422988868511,0.8212463157301114,0.8673020053077131,0.8712486450705069,0.9912898440593868,0.9939788149790451,1.2021240544774519,0.6918471144871421,0.7720233238772867,0.7624083198059626,1.0668604841799687,0.9178455341130297,1.1296808200045658,1.1088317321011227,1.262265432959141,1.1588165009466567
p_large,0.3724497097998209,0.29972076612045195,0.38370624087886446,0.3561151618040073,0.308120711626047,0.4203799058017625,0.3935847197577028,0.23301223451095293,0.5669537241786399,0.29446482959912496,0.0,0.5234082302886108,0.97640613104564,0.5556940850147062,1.3075960116275085,0.7143888828520079,0.8142964916178362,1.4247220268945342,0.9544663744603994,1.2433040255428118,1.645064537503332,1.4396795746507542,0.764214170155116,0.72673483694778,0.7833588100994519,0.9335288113016869,1.428427694619156,0.832980390305161,0.7049222032692075,0.762698859876709,0.6966148570647529,1.1604395088803572,1.1202293304327937,0.9443466575861309,1.4702301381600842,1.4425112561220885,1.0976331084634876,0.7801598692977583,0.5589896625410746,0.6419880235361268,0.7118003897889137,1.141274233191113
p_normal_rot90,0.34894020077394133,0.3917242436712355,0.37436139176903116,0.29604964481759516,0.3338203722342321,0.3996030554244555,0.4152254811632711,0.5593355402844103,0.31523240957548554,0.44816892068623027,0.5234082302886108,0.0,0.954855096846946,1.1601611956082158,0.8515450185095982,1.0418416217125104,0.7836051218454497,1.293430569072816,1.1841597204223184,1.1502600799438436,0.9948483306059118,1.1412499940323453,0.8827876842255544,1.0623764452813806,1.1736058650292955,0.9674721655464124,1.1338686113376215,1.1714654517052872,0.9432349854224538,1.0165869391255584,1.1668163535882723,1.0573281095287366,0.6086618939639152,1.069065107326777,0.7523476869615622,0.9281231698406609,0.9211963354216927,0.8821266209704575,0.9357121196315227,0.6903487075986958,0.8552681439852853,0.9026280872735093
r_normal,0.9570190562442867,0.6395173111609425,1.2370540351342996,0.7171987843643719,0.9294967375561161,1.1783249631733175,0.6910791208839346,1.1200311747600014,1.0145912147734728,0.6123882684246214,0.97640613104564,0.954855096846946,0.0,0.23527854097203402,0.2000566025346376,0.22507486116556702,0.3420123246349935,0.691057821467911,0.7910770087778896,0.7194618233091538,1.4681584639123368,0.627583472565473,1.139767127160928,0.8264585692154522,1.3062477003534432,1.0272693738817866,0.6278813993607726,0.762458294019299,0.8042062388647574,0.8533376519944973,0.9995469944673535,0.8263127326704698,1.0961142601880345,0.7907283622942104,0.8573040134507993,0.6927339039251481,1.0202441829513818,0.8647414337639294,0.7755187132944293,0.755991421484415,1.1915171845822867,1.13449530282373
r_large,0.8504397318426429,0.6823019801886453,1.12851442607277,0.8164763916498318,1.0876338306345759,1.288263721421163,0.8512880453597641,0.7777893554630242,0.9753235492895471,1.2607768931902061,0.5556940850147062,1.1601611956082158,0.23527854097203402,0.0,0.3681019542085137,0.31738780061126654,0.3787534369864863,0.7653386980649183,0.6575690752556465,0.9975004486214625,1.4199165253557386,0.9596866196082255,0.8765649741866137,1.0547077293213298,1.283192882237876,0.8998006494779642,1.3634912657810394,0.816454278793878,0.5473305268051086,0.8233971946620151,0.8689542128721295,0.8897987503282483,0.6502884141165692,0.9041466210656324,0.6751592301823559,0.7358127169721733,0.7211489323263964,0.8475106032271619,0.695025130056123,1.0119488761589606,1.280621670645442,1.3117628986726977
r_normal_flip_h,0.9081453560427868,0.6718520529081136,1.008095192261794,0.7540274456152429,1.0426408708735169,0.9924580603472322,0.8792180439453727,1.090473789276428,0.8844289324866655,0.6014814073955195,1.3075960116275085,0.8515450185095982,0.2000566025346376,0.3681019542085137,0.0,0.30875966143412814,0.3717717508460983,0.8798743621374808,0.9417139474521944,0.7656956550993503,1.121867839012083,1.016852722969569,1.209014471657306,0.917806185217863,1.1199649512238135,1.0050840606998446,0.6959483535422826,1.1909942348567848,0.6968857483281492,0.6881249087124102,0.9972564587880091,0.7238656944189815,0.893901781975408,0.8983051632441331,0.5823765623885439,0.6673354498688575,0.9984594460943546,1.417567936800557,0.9138601329243092,1.0191139027706502,0.8334410069937508,1.2331260929750736
r_normal_flip_v,1.116429658015811,0.8330639699340461,1.0292182724813557,0.8570105531624763,1.139220446142314,0.925129607041506,1.0888295704540347,0.9585415218024634,1.1011710938392354,0.8069819543516179,0.7143888828520079,1.0418416217125104,0.22507486116556702,0.31738780061126654,0.30875966143412814,0.0,0.2598837768270425,1.0243275135290069,1.0166909689335228,1.1195707464486953,1.1941669071064356,1.196710417419419,0.9448308658396802,1.1439600329349504,1.0502887419668614,0.9118853963306732,0.6706475492357442,0.734420742958907,0.5971327971308164,0.6384010297583984,0.8716009687992651,0.8782812163653846,1.4624485842462,1.1882561586726281,1.5745303650954825,1.0621664357831815,1.458078551676278,0.866429882815128,0.9767349206856398,0.7977700672891007,1.202772408656837,1.0713456922977385
r_normal_rot90,1.045547013637738,1.0819434589838166,0.9269533569531806,1.0255426008135993,1.1430188134089043,0.618743757852728,1.4948448713459854,1.2315432757626203,1.2369834088136409,1.004376279679252,0.8142964916178362,0.7836051218454497,0.3420123246349935,0.3787534369864863,0.3717717508460983,0.2598837768270425,0.0,1.0179554070787786,1.2879444869361505,1.2009241275667428,1.1827034654041635,1.1385014740763344,0.9935485557414878,1.2955152386958144,0.6916326950514946,0.7765588090516706,0.7597263748495763,0.7540489042251373,0.8037849724704581,1.0297490896884767,0.9047876154265285,0.7675996257373594,1.3168333491375626,1.513983390290264,1.3854030079966775,0.8799328180168988,1.2765424619169683,1.1859068206554726,1.005443561051701,1.1562541731533762,0.92949572367971,0.6317049010753468
a_normal,1.0654280459445753,0.8912221523651431,1.055071354949944,1.216641248586706,0.9927164201969043,1.3843845983335572,0.92859859109562,1.5951237301372447,0.9895195395409601,1.2781754167875783,1.4247220268945342,1.293430569072816,0.691057821467911,0.7653386980649183,0.8798743621374808,1.0243275135290069,1.0179554070787786,0.0,0.23037276388713784,0.21640358963383766,0.237449243049911,0.26657701778356707,0.774540305310013,1.286640098548653,1.0929827332720454,1.2797426486598913,1.1420111208787813,0.9883109369563396,0.6731454205545306,0.8507565398118317,0.6321746074306414,0.7242726160096655,1.0920920001378733,1.3579423580184573,0.9328983154894024,1.0419169391851297,0.9986522911594434,0.9847303955995724,0.7587228051633645,1.0935583970509555,0.9097624837165261,0.9217758135789067
a_large,1.1091944205742332,1.0405893726225555,1.034702085696104,1.00365008155656,0.9563865081760685,0.83866551267785,0.9940490390610718,0.9399783967608855,0.7339530564821253,1.0500028978026825,0.9544663744603994,1.1841597204223184,0.7910770087778896,0.6575690752556465,0.9417139474521944,1.0166909689335228,1.2879444869361505,0.23037276388713784,0.0,0.3069787403056466,0.307525869933818,0.41532512232595187,1.0013058243327917,0.8843438337772027,0.994791209084097,1.2377985916490037,1.008917180073916,1.4126171429765846,0.523931030189525,0.6876002059647095,1.1925667663505293,0.7056126504641815,1.156325453790577,1.2713739467966603,1.4125490998377657,1.447264500156911,1.0688769783115848,0.9949449402294659,0.8966392097259128,1.048297003316771,0.9125974026441197,1.0957161872955983
a_normal_flip_h,1.2658898601781479,1.0884131838134188,1.096337387784378,0.8749616878086203,1.265335992245293,0.9976033911968853,1.102541240069209,1.2940826933150194,1.0395772050084957,0.9688753181866632,1.2433040255428118,1.1502600799438436,0.7194618233091538,0.9975004486214625,0.7656956550993503,1.1195707464486953,1.2009241275667428,0.21640358963383766,0.3069787403056466,0.0,0.2529901159473433,0.2946637771453736,0.6361285851422024,1.0484959966597136,0.6135677025667702,1.0751766834391023,0.9775236023155557,1.4383296254676512,1.4515448447643544,0.7958024428756818,1.078758454898596,0.9590903623929733,0.9056323182818035,1.0088316731855016,0.8158411010319477,0.9095648092835438,0.7830286396729833,0.7009964202790528,0.8624759496189284,0.8111543951095038,0.6835316286958021,0.6913392614575994
